Date,Price,Open,High,Low,Volume,Change,Country
2011-12-29,4646.25,4681.15,4701.8,4639.05,146.0,-1.27,India
2011-12-28,4705.8,4756.2,4756.2,4685.65,117.46,-0.94,India
2011-12-27,4750.5,4780.2,4800.5,4723.65,104.83,-0.6,India
2011-12-26,4779.0,4718.15,4787.25,4718.15,90.85,1.38,India
2011-12-23,4714.0,4763.2,4763.45,4693.2,141.98,-0.42,India
2011-12-22,4733.85,4636.9,4740.6,4632.95,170.79,0.87,India
2011-12-21,4693.15,4636.45,4707.35,4601.95,211.31,3.28,India
2011-12-20,4544.2,4635.8,4637.25,4531.15,195.3,-1.49,India
2011-12-19,4613.1,4623.15,4623.15,4555.9,176.45,-0.83,India
2011-12-16,4651.6,4752.5,4818.85,4628.2,202.06,-2.0,India
2011-12-15,4746.35,4712.8,4768.65,4673.85,200.32,-0.35,India
2011-12-14,4763.25,4788.7,4839.55,4750.4,176.25,-0.78,India
2011-12-13,4800.6,4733.6,4824.7,4728.5,181.04,0.76,India
2011-12-12,4764.6,4906.85,4910.25,4755.55,178.34,-2.1,India
2011-12-09,4866.7,4870.75,4918.35,4841.75,173.61,-1.56,India
2011-12-08,4943.65,5037.4,5049.05,4921.45,178.85,-2.35,India
2011-12-07,5062.6,5050.1,5099.25,5032.25,169.43,0.47,India
2011-12-05,5039.15,5036.5,5055.4,5002.55,137.25,-0.22,India
2011-12-02,5050.15,4940.85,5062.55,4918.4,180.19,2.29,India
2011-12-01,4936.85,4970.85,5011.9,4916.7,183.92,2.17,India
2011-11-30,4832.05,4766.15,4851.55,4754.8,282.22,0.56,India
2011-11-29,4805.1,4864.2,4866.1,4787.1,155.57,-0.95,India
2011-11-28,4851.3,4769.3,4859.1,4766.4,145.26,3.0,India
2011-11-25,4710.05,4731.3,4767.3,4693.1,162.84,-0.98,India
2011-11-24,4756.45,4707.55,4771.1,4639.1,213.36,1.06,India
2011-11-23,4706.45,4779.5,4779.5,4640.95,178.82,-2.2,India
2011-11-22,4812.35,4794.85,4854.0,4782.55,174.21,0.71,India
2011-11-21,4778.35,4873.8,4873.8,4764.8,154.12,-2.6,India
2011-11-18,4905.8,4899.15,4915.9,4837.95,192.27,-0.59,India
2011-11-17,4934.75,5027.1,5036.8,4919.45,149.24,-1.9,India
2011-11-16,5030.45,5059.1,5065.2,4989.5,161.41,-0.75,India
2011-11-15,5068.5,5131.2,5158.75,5052.85,149.59,-1.55,India
2011-11-14,5148.35,5217.35,5228.9,5140.55,134.45,-0.4,India
2011-11-11,5168.85,5159.75,5198.6,5142.25,168.51,-1.0,India
2011-11-09,5221.05,5309.7,5317.5,5211.75,146.43,-1.29,India
2011-11-08,5289.35,5292.25,5304.25,5252.0,120.65,0.1,India
2011-11-04,5284.2,5325.4,5326.45,5256.8,149.02,0.35,India
2011-11-03,5265.75,5241.55,5281.6,5201.85,160.28,0.14,India
2011-11-02,5258.45,5216.75,5300.1,5204.95,144.38,0.01,India
2011-11-01,5257.95,5278.6,5310.85,5238.3,152.49,-1.29,India
2011-10-31,5326.6,5358.9,5360.25,5314.6,149.48,-0.64,India
2011-10-28,5360.7,5341.9,5399.7,5322.8,246.08,3.05,India
2011-10-26,5201.8,5214.95,5219.25,5196.15,27.5,0.2,India
2011-10-25,5191.6,5137.9,5211.0,5085.55,221.08,1.83,India
2011-10-24,5098.35,5114.7,5145.65,5084.75,126.07,0.96,India
2011-10-21,5049.95,5106.6,5120.75,5037.95,109.89,-0.82,India
2011-10-20,5091.9,5086.55,5099.0,5033.95,119.33,-0.92,India
2011-10-19,5139.15,5080.45,5148.05,5075.3,117.47,2.02,India
2011-10-18,5037.5,5049.45,5057.5,5011.05,125.55,-1.58,India
2011-10-17,5118.25,5156.2,5160.2,5084.5,130.46,-0.27,India
2011-10-14,5132.3,5057.35,5141.4,5056.6,157.78,1.07,India
2011-10-13,5077.85,5130.8,5136.95,5067.65,157.3,-0.42,India
2011-10-12,5099.4,5011.2,5109.8,4997.65,188.01,2.51,India
2011-10-11,4974.35,5019.9,5045.1,4964.0,182.04,-0.11,India
2011-10-10,4979.6,4886.85,4991.15,4882.05,188.84,1.87,India
2011-10-07,4888.05,4883.65,4922.6,4861.2,198.29,2.88,India
2011-10-05,4751.3,4791.3,4827.8,4741.0,179.14,-0.44,India
2011-10-04,4772.15,4823.5,4869.75,4728.3,184.41,-1.6,India
2011-10-03,4849.5,4874.4,4879.15,4823.9,148.92,-1.9,India
2011-09-30,4943.25,4990.15,5025.55,4924.3,201.96,-1.44,India
2011-09-29,5015.45,4924.2,5034.25,4906.0,216.16,1.41,India
2011-09-28,4945.9,5005.5,5006.05,4918.45,166.87,-0.51,India
2011-09-27,4971.25,4905.15,4982.95,4905.15,151.31,2.81,India
2011-09-26,4835.4,4878.6,4879.8,4758.85,156.08,-0.66,India
2011-09-23,4867.75,4873.75,4930.25,4829.6,205.77,-1.14,India
2011-09-22,4923.65,5054.45,5059.85,4907.75,147.61,-4.08,India
2011-09-21,5133.25,5153.75,5168.4,5109.85,132.92,-0.14,India
2011-09-20,5140.2,5042.55,5149.9,5035.25,146.6,2.15,India
2011-09-19,5031.95,5068.4,5068.4,5019.25,115.74,-1.03,India
2011-09-16,5084.25,5123.35,5143.6,5068.1,225.19,0.17,India
2011-09-15,5075.7,5062.35,5091.45,4967.45,153.65,1.26,India
2011-09-14,5012.55,4965.05,5026.15,4917.4,154.28,1.45,India
2011-09-13,4940.95,4977.8,5030.15,4911.05,146.0,-0.12,India
2011-09-12,4946.8,4981.7,4985.6,4911.25,135.5,-2.23,India
2011-09-09,5059.45,5161.3,5163.75,5046.8,158.71,-1.82,India
2011-09-08,5153.25,5139.2,5169.25,5098.25,140.86,0.56,India
2011-09-07,5124.65,5080.15,5154.5,5076.3,193.86,1.19,India
2011-09-06,5064.3,4993.35,5072.9,4942.9,183.68,0.94,India
2011-09-05,5017.2,4998.9,5030.3,4964.45,162.9,-0.45,India
2011-09-02,5040.0,5109.8,5113.7,4993.35,195.06,0.78,India
2011-08-30,5001.0,4973.25,5016.25,4927.55,181.54,1.65,India
2011-08-29,4919.6,4806.2,4934.4,4806.05,145.12,3.62,India
2011-08-26,4747.8,4839.25,4872.0,4720.0,149.72,-1.9,India
2011-08-25,4839.6,4914.65,4915.85,4825.05,184.91,-1.01,India
2011-08-24,4888.9,4934.35,4962.4,4875.3,129.41,-1.21,India
2011-08-23,4948.9,4925.15,4965.8,4863.8,130.01,1.02,India
2011-08-22,4898.8,4843.7,4910.05,4808.75,123.81,1.1,India
2011-08-19,4845.65,4859.3,4893.6,4796.1,166.7,-1.99,India
2011-08-18,4944.15,5077.95,5078.6,4932.15,139.82,-2.22,India
2011-08-17,5056.6,5030.3,5112.15,5017.25,143.34,0.41,India
2011-08-16,5035.8,5125.75,5132.2,5015.4,130.9,-0.73,India
2011-08-12,5072.95,5194.4,5194.45,5053.35,128.84,-1.27,India
2011-08-11,5138.3,5128.0,5184.95,5121.0,113.04,-0.44,India
2011-08-10,5161.0,5196.55,5197.95,5123.35,158.4,1.74,India
2011-08-09,5072.85,4947.9,5167.0,4946.45,233.87,-0.89,India
2011-08-08,5118.5,5083.85,5204.2,5054.05,188.31,-1.78,India
2011-08-05,5211.25,5204.35,5229.65,5116.45,196.02,-2.26,India
2011-08-04,5331.8,5412.4,5434.5,5323.15,118.48,-1.35,India
2011-08-03,5404.8,5402.0,5422.6,5378.85,133.22,-0.95,India
2011-08-02,5456.55,5493.2,5496.3,5433.65,110.37,-1.09,India
2011-08-01,5516.8,5527.5,5551.9,5486.45,98.96,0.63,India
2011-07-29,5482.0,5479.0,5520.3,5453.95,156.13,-0.1,India
2011-07-28,5487.75,5492.4,5512.1,5475.65,164.52,-1.06,India
2011-07-27,5546.8,5588.55,5591.7,5521.5,122.32,-0.5,India
2011-07-26,5574.85,5688.45,5702.25,5560.15,134.11,-1.86,India
2011-07-25,5680.3,5633.8,5700.55,5616.7,142.01,0.82,India
2011-07-22,5633.95,5576.95,5642.2,5567.1,106.78,1.67,India
2011-07-21,5541.6,5554.6,5578.9,5532.7,76.33,-0.46,India
2011-07-20,5567.05,5642.05,5645.4,5555.1,87.09,-0.83,India
2011-07-19,5613.55,5569.85,5627.65,5557.2,86.56,0.84,India
2011-07-18,5567.05,5581.75,5596.6,5550.95,73.61,-0.25,India
2011-07-15,5581.1,5602.95,5631.7,5562.75,80.43,-0.33,India
2011-07-14,5599.8,5569.0,5653.95,5541.7,123.02,0.26,India
2011-07-13,5585.45,5542.05,5596.15,5541.4,106.02,1.07,India
2011-07-12,5526.15,5556.9,5580.25,5496.95,104.91,-1.6,India
2011-07-11,5616.1,5648.05,5652.9,5601.7,78.9,-0.79,India
2011-07-08,5660.65,5734.65,5740.4,5651.05,129.28,-1.19,India
2011-07-07,5728.95,5633.35,5737.15,5632.95,112.22,1.84,India
2011-07-06,5625.45,5622.7,5655.4,5610.75,86.11,-0.12,India
2011-07-05,5632.1,5659.85,5659.85,5612.3,100.78,-0.33,India
2011-07-04,5650.5,5679.55,5679.65,5633.1,103.53,0.41,India
2011-07-01,5627.2,5705.75,5705.8,5609.75,141.09,-0.36,India
2011-06-30,5647.4,5614.5,5657.9,5606.1,179.22,0.84,India
2011-06-29,5600.45,5566.5,5608.65,5566.5,124.59,0.99,India
2011-06-28,5545.3,5548.85,5558.3,5496.35,114.41,0.34,India
2011-06-27,5526.6,5441.2,5552.65,5434.25,143.4,1.01,India
2011-06-24,5471.25,5343.4,5477.85,5343.4,140.1,2.84,India
2011-06-23,5320.0,5269.1,5330.6,5252.25,89.0,0.79,India
2011-06-22,5278.3,5304.65,5310.5,5262.5,95.77,0.05,India
2011-06-21,5275.85,5280.8,5322.45,5257.0,107.19,0.34,India
2011-06-20,5257.9,5372.2,5377.4,5195.9,135.34,-2.02,India
2011-06-17,5366.4,5412.5,5421.15,5355.85,97.88,-0.56,India
2011-06-16,5396.75,5419.65,5447.5,5389.8,128.06,-0.93,India
2011-06-15,5447.5,5494.45,5499.35,5438.95,95.88,-0.96,India
2011-06-14,5500.5,5485.6,5520.15,5484.2,97.84,0.32,India
2011-06-13,5482.8,5469.85,5496.7,5436.95,80.11,-0.05,India
2011-06-10,5485.8,5518.05,5521.45,5457.45,84.19,-0.64,India
2011-06-09,5521.05,5523.55,5540.1,5502.05,87.03,-0.1,India
2011-06-08,5526.85,5535.25,5556.6,5514.9,92.93,-0.53,India
2011-06-07,5556.15,5509.15,5570.1,5507.8,81.86,0.44,India
2011-06-06,5532.05,5504.3,5542.65,5479.85,77.14,0.28,India
2011-06-03,5516.75,5565.7,5604.95,5507.2,101.02,-0.61,India
2011-06-02,5550.35,5529.9,5568.2,5521.95,110.95,-0.74,India
2011-06-01,5592.0,5561.05,5597.35,5559.45,98.63,0.57,India
2011-05-31,5560.15,5492.0,5571.6,5489.7,149.41,1.59,India
2011-05-30,5473.1,5493.75,5509.3,5458.6,100.77,-0.05,India
2011-05-27,5476.1,5413.7,5485.8,5413.6,117.23,1.18,India
2011-05-26,5412.35,5372.75,5422.2,5356.35,161.61,1.19,India
2011-05-25,5348.95,5389.1,5389.1,5328.7,99.92,-0.85,India
2011-05-24,5394.85,5385.1,5422.6,5367.45,100.05,0.15,India
2011-05-23,5386.55,5456.7,5456.7,5373.0,94.67,-1.82,India
2011-05-20,5486.35,5450.65,5517.55,5432.75,127.4,1.07,India
