"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","11,251.00","11,351.35","11,356.60","11,082.15","797.65K","-0.46%"
"Mar 03, 2020","11,303.30","11,217.55","11,342.25","11,152.55","696.52K","1.53%"
"Mar 02, 2020","11,132.75","11,387.35","11,433.00","11,036.25","680.80K","-0.62%"
"Feb 28, 2020","11,201.75","11,382.00","11,384.80","11,175.05","809.90K","-3.71%"
"Feb 27, 2020","11,633.30","11,661.25","11,663.85","11,536.70","608.61K","-0.39%"
"Feb 26, 2020","11,678.50","11,738.55","11,783.25","11,639.60","567.63K","-1.01%"
"Feb 25, 2020","11,797.90","11,877.50","11,883.05","11,779.90","461.00K","-0.27%"
"Feb 24, 2020","11,829.40","12,012.55","12,012.55","11,813.40","490.80K","-2.08%"
"Feb 20, 2020","12,080.85","12,119.00","12,152.00","12,071.45","502.61K","-0.37%"
"Feb 19, 2020","12,125.90","12,090.60","12,134.70","12,042.10","513.57K","1.11%"
"Feb 18, 2020","11,992.50","12,028.25","12,030.75","11,908.05","676.85K","-0.44%"
"Feb 17, 2020","12,045.80","12,131.80","12,159.60","12,037.00","455.19K","-0.56%"
"Feb 14, 2020","12,113.45","12,190.15","12,246.70","12,091.20","622.78K","-0.50%"
"Feb 13, 2020","12,174.65","12,219.55","12,225.65","12,139.80","501.19K","-0.22%"
"Feb 12, 2020","12,201.20","12,151.00","12,231.75","12,144.30","411.73K","0.77%"
"Feb 11, 2020","12,107.90","12,108.40","12,172.30","12,099.00","479.98K","0.64%"
"Feb 10, 2020","12,031.50","12,102.35","12,103.55","11,990.75","524.71K","-0.55%"
"Feb 07, 2020","12,098.35","12,151.15","12,154.70","12,073.95","473.48K","-0.33%"
"Feb 06, 2020","12,137.95","12,120.00","12,160.60","12,084.65","565.12K","0.40%"
"Feb 05, 2020","12,089.15","12,005.85","12,098.15","11,953.35","758.03K","0.91%"
"Feb 04, 2020","11,979.65","11,786.25","11,986.15","11,783.40","560.43K","2.32%"
"Feb 03, 2020","11,707.90","11,627.45","11,749.85","11,614.50","669.82K","-2.13%"
"Jan 31, 2020","11,962.10","12,100.40","12,103.55","11,945.85","771.28K","-0.61%"
"Jan 30, 2020","12,035.80","12,147.75","12,150.30","12,010.60","538.14K","-0.77%"
"Jan 29, 2020","12,129.50","12,114.90","12,169.60","12,103.80","514.36K","0.61%"
"Jan 28, 2020","12,055.80","12,148.10","12,163.55","12,024.50","478.48K","-0.52%"
"Jan 27, 2020","12,119.00","12,197.10","12,216.60","12,107.00","441.16K","-1.06%"
"Jan 24, 2020","12,248.25","12,174.55","12,272.15","12,149.65","593.24K","0.56%"
"Jan 23, 2020","12,180.35","12,123.75","12,189.00","12,094.10","867.65K","0.61%"
"Jan 22, 2020","12,106.90","12,218.35","12,225.05","12,087.90","526.30K","-0.52%"
"Jan 21, 2020","12,169.85","12,195.30","12,230.05","12,162.30","443.98K","-0.45%"
"Jan 20, 2020","12,224.55","12,430.50","12,430.50","12,216.90","491.61K","-1.03%"
"Jan 17, 2020","12,352.35","12,328.40","12,385.45","12,321.40","502.06K","-0.03%"
"Jan 16, 2020","12,355.50","12,347.10","12,389.05","12,315.80","395.67K","0.10%"
"Jan 15, 2020","12,343.30","12,349.40","12,355.15","12,278.75","684.35K","-0.15%"
"Jan 14, 2020","12,362.30","12,333.10","12,374.25","12,308.70","616.26K","0.27%"
"Jan 13, 2020","12,329.55","12,296.70","12,337.75","12,285.80","500.97K","0.59%"
"Jan 10, 2020","12,256.80","12,271.00","12,311.20","12,213.20","660.63K","0.33%"
"Jan 09, 2020","12,215.90","12,153.15","12,224.05","12,132.55","477.47K","1.58%"
"Jan 08, 2020","12,025.35","11,939.10","12,044.95","11,929.60","445.99K","-0.23%"
"Jan 07, 2020","12,052.95","12,079.10","12,152.15","12,005.35","447.82K","0.50%"
"Jan 06, 2020","11,993.05","12,170.60","12,179.10","11,974.20","396.50K","-1.91%"
"Jan 03, 2020","12,226.65","12,261.10","12,265.60","12,191.35","428.77K","-0.45%"
"Jan 02, 2020","12,282.20","12,198.55","12,289.90","12,195.25","407.70K","0.82%"
"Jan 01, 2020","12,182.50","12,202.15","12,222.20","12,165.30","304.08K","0.12%"
